Region,Ward,Booze,Gambling,Hooker,CA
N,1,36,22,9.5,0
N,2,25,24,12.5,0
N,3,45,5,16.6,0
N,4,9,27,3.8,0
N,5,6,24,1.7,0
N,6,8,8,0,0
N,7,5,15,7,0
N,8,23,35,1.8,0
N,9,26,6,1.2,0
N,10,24,29,5.7,1
S,11,19,21,0.3,1
S,12,14,4,0.2,0
S,13,14,1,3.4,0
S,14,38,11,0.2,0
S,15,7,7,0.8,1
S,16,15,18,1.2,0
S,17,8,7,0.9,0
S,18,37,12,12.5,0
S,19,34,30,1.7,1
S,20,4,43,21.5,0
S,21,22,19,2.4,0
S,22,13,11,2.9,1
S,23,25,23,21.6,1
W,24,23,7,7.4,1
W,25,9,6,0.3,0
W,26,10,69,13.8,0
W,27,2,16,30.2,0
W,28,10,47,1.6,1
W,29,27,46,0.1,0
W,30,18,4,17.2,0
,31,3,13,3.5,0
,32,11,8,8,1
,33,22,40,24.1,1
,34,45,4,14.4,1
,35,4,97,10.1,1
,36,37,16,0.6,0
,37,8,7,10.6,1
,38,25,14,12.2,0
,39,27,8,2.5,1
,40,16,26,1.5,0
,41,32,40,1.6,0
,42,22,25,1.1,0
,43,2,26,17.6,0
,44,9,0,9.1,1
,45,30,14,2.9,0
